Armed,Cases
Ax,7
Baseball Bat,5
Baseball Bat And Fireplace Poker,0
Bean-Bag Gun,0
Beer Bottle,1
Blunt Object,0
Box Cutter,2
Brick,0
Carjack,0
Chain,1
Contractor'S Level,0
Cordless Drill,0
Crossbow,0
Flagpole,0
Gun,584
Gun And Knife,2
Guns And Explosives,0
Hammer,5
Hatchet,3
Knife,142
Lawn Mower Blade,0
Machete,4
Meat Cleaver,0
Metal Hand Tool,0
Metal Object,0
Metal Pipe,0
Metal Pole,0
Metal Stick,0
Nail Gun,0
Screwdriver,2
Sharp Object,7
Shovel,2
Stapler,0
Straight Edge Razor,1
Sword,7
Taser,5
Toy Weapon,26
Unarmed,55
Undetermined,20
Unknown Weapon,19
Baton,1
Bayonet,0
Chain Saw,0
Chair,1
Crowbar,2
Flashlight,1
Garden Tool,1
Glass Shard,0
Hand Torch,0
Hatchet And Gun,0
Machete And Gun,0
Metal Rake,0
Motorcycle,0
Oar,0
Pepper Spray,0
Pick-Axe,0
Piece Of Wood,2
Pipe,0
Pitchfork,0
Pole,0
Rock,1
Scissors,3
Spear,0
Tire Iron,0
Vehicle,62
Air Conditioner,0
Baseball Bat And Bottle,0
Chainsaw,0
Fireworks,0
Gun And Car,3
Gun And Sword,0
Pen,0
Pole And Knife,0
Bb Gun,2
Bow And Arrow,0
Claimed To Be Armed,0
Gun And Vehicle,8
Incendiary Device,0
Pellet Gun,1
Samurai Sword,1
Vehicle And Gun,1
Air Pistol,1
Airsoft Pistol,1
Barstool,1
Baseball Bat And Knife,1
Bb Gun And Vehicle,1
"Car, Knife And Mace",1
Grenade,1
Ice Pick,1
Vehicle And Machete,1
Walking Stick,1
Wasp Spray,1
Wrench,1
