Armed,Cases
Ax,0
Baseball Bat,1
Baseball Bat And Fireplace Poker,0
Bean-Bag Gun,0
Beer Bottle,0
Blunt Object,0
Box Cutter,0
Brick,0
Carjack,0
Chain,0
Contractor'S Level,0
Cordless Drill,0
Crossbow,0
Flagpole,0
Gun,282
Gun And Knife,0
Guns And Explosives,0
Hammer,3
Hatchet,0
Knife,67
Lawn Mower Blade,0
Machete,4
Meat Cleaver,2
Metal Hand Tool,0
Metal Object,0
Metal Pipe,2
Metal Pole,0
Metal Stick,0
Nail Gun,0
Screwdriver,2
Sharp Object,4
Shovel,1
Stapler,0
Straight Edge Razor,0
Sword,2
Taser,5
Toy Weapon,13
Unarmed,25
Undetermined,22
Unknown Weapon,7
Baton,0
Bayonet,0
Chain Saw,0
Chair,1
Crowbar,1
Flashlight,0
Garden Tool,0
Glass Shard,0
Hand Torch,0
Hatchet And Gun,0
Machete And Gun,0
Metal Rake,0
Motorcycle,0
Oar,0
Pepper Spray,0
Pick-Axe,1
Piece Of Wood,0
Pipe,0
Pitchfork,0
Pole,0
Rock,1
Scissors,1
Spear,0
Tire Iron,0
Vehicle,25
Air Conditioner,0
Baseball Bat And Bottle,0
Chainsaw,0
Fireworks,0
Gun And Car,3
Gun And Sword,0
Pen,0
Pole And Knife,0
Bb Gun,1
Bow And Arrow,0
Claimed To Be Armed,0
Gun And Vehicle,1
Incendiary Device,0
Pellet Gun,1
Samurai Sword,1
Vehicle And Gun,2
Air Pistol,0
Airsoft Pistol,0
Barstool,0
Baseball Bat And Knife,0
Bb Gun And Vehicle,0
"Car, Knife And Mace",0
Grenade,0
Ice Pick,0
Vehicle And Machete,0
Walking Stick,0
Wasp Spray,0
Wrench,0
