Armed,Cases
Ax,1
Baseball Bat,1
Baseball Bat And Fireplace Poker,1
Bean-Bag Gun,1
Beer Bottle,1
Blunt Object,2
Box Cutter,7
Brick,1
Carjack,1
Chain,1
Contractor'S Level,1
Cordless Drill,1
Crossbow,2
Flagpole,1
Gun,563
Gun And Knife,1
Guns And Explosives,3
Hammer,4
Hatchet,2
Knife,138
Lawn Mower Blade,1
Machete,8
Meat Cleaver,1
Metal Hand Tool,1
Metal Object,1
Metal Pipe,4
Metal Pole,1
Metal Stick,2
Nail Gun,1
Screwdriver,2
Sharp Object,1
Shovel,1
Stapler,1
Straight Edge Razor,1
Sword,6
Taser,3
Toy Weapon,43
Unarmed,94
Undetermined,27
Unknown Weapon,6
Baton,0
Bayonet,0
Chain Saw,0
Chair,0
Crowbar,0
Flashlight,0
Garden Tool,0
Glass Shard,0
Hand Torch,0
Hatchet And Gun,0
Machete And Gun,0
Metal Rake,0
Motorcycle,0
Oar,0
Pepper Spray,0
Pick-Axe,0
Piece Of Wood,0
Pipe,0
Pitchfork,0
Pole,0
Rock,0
Scissors,0
Spear,0
Tire Iron,0
Vehicle,0
Air Conditioner,0
Baseball Bat And Bottle,0
Chainsaw,0
Fireworks,0
Gun And Car,0
Gun And Sword,0
Pen,0
Pole And Knife,0
Bb Gun,0
Bow And Arrow,0
Claimed To Be Armed,0
Gun And Vehicle,0
Incendiary Device,0
Pellet Gun,0
Samurai Sword,0
Vehicle And Gun,0
Air Pistol,0
Airsoft Pistol,0
Barstool,0
Baseball Bat And Knife,0
Bb Gun And Vehicle,0
"Car, Knife And Mace",0
Grenade,0
Ice Pick,0
Vehicle And Machete,0
Walking Stick,0
Wasp Spray,0
Wrench,0
