Armed,Cases
Ax,4
Baseball Bat,2
Baseball Bat And Fireplace Poker,0
Bean-Bag Gun,0
Beer Bottle,1
Blunt Object,2
Box Cutter,0
Brick,0
Carjack,0
Chain,0
Contractor'S Level,0
Cordless Drill,0
Crossbow,2
Flagpole,0
Gun,568
Gun And Knife,4
Guns And Explosives,0
Hammer,1
Hatchet,2
Knife,138
Lawn Mower Blade,0
Machete,9
Meat Cleaver,0
Metal Hand Tool,0
Metal Object,2
Metal Pipe,2
Metal Pole,0
Metal Stick,1
Nail Gun,0
Screwdriver,3
Sharp Object,1
Shovel,1
Stapler,0
Straight Edge Razor,0
Sword,2
Taser,6
Toy Weapon,26
Unarmed,70
Undetermined,26
Unknown Weapon,8
Baton,1
Bayonet,0
Chain Saw,0
Chair,1
Crowbar,1
Flashlight,0
Garden Tool,0
Glass Shard,0
Hand Torch,0
Hatchet And Gun,1
Machete And Gun,0
Metal Rake,0
Motorcycle,0
Oar,0
Pepper Spray,0
Pick-Axe,0
Piece Of Wood,1
Pipe,4
Pitchfork,1
Pole,0
Rock,1
Scissors,0
Spear,0
Tire Iron,0
Vehicle,1
Air Conditioner,1
Baseball Bat And Bottle,1
Chainsaw,1
Fireworks,1
Gun And Car,3
Gun And Sword,1
Pen,1
Pole And Knife,1
Bb Gun,0
Bow And Arrow,0
Claimed To Be Armed,0
Gun And Vehicle,0
Incendiary Device,0
Pellet Gun,0
Samurai Sword,0
Vehicle And Gun,0
Air Pistol,0
Airsoft Pistol,0
Barstool,0
Baseball Bat And Knife,0
Bb Gun And Vehicle,0
"Car, Knife And Mace",0
Grenade,0
Ice Pick,0
Vehicle And Machete,0
Walking Stick,0
Wasp Spray,0
Wrench,0
