,city,state,address,geom,latitude,longitude
61,Tahoka,TX,"Tahoka,TX,USA","(33.1647623, -101.7971099)",33.1647623,-101.7971099
62,Wasco,CA,"Wasco,CA,USA","(35.5941238, -119.3409457)",35.5941238,-119.3409457
63,Omaha,NE,"Omaha,NE,USA","(41.2587459, -95.9383758)",41.2587459,-95.9383758
64,Phoenix,AZ,"Phoenix,AZ,USA","(33.4484367, -112.0741417)",33.4484367,-112.0741417
65,Morenci,AZ,"Morenci,AZ,USA","(33.0512895, -109.3259809)",33.0512895,-109.3259809
66,Sunset,TX,"Sunset,TX,USA","(33.4520535, -97.7666999)",33.4520535,-97.7666999
67,Rosenberg,TX,"Rosenberg,TX,USA","(29.5571825, -95.8085623)",29.5571825,-95.8085623
68,Wyoming,MI,"Wyoming,MI,USA","(42.9132581, -85.7057035)",42.9132581,-85.7057035
69,Stillwater,OK,"Stillwater,OK,USA","(36.1156306, -97.0585717)",36.1156306,-97.0585717
70,Billings,MT,"Billings,MT,USA","(45.7874957, -108.49607)",45.7874957,-108.49607
71,Houston,TX,"Houston,TX,USA","(29.7589382, -95.3676974)",29.7589382,-95.3676974
72,Randallstown,MD,"Randallstown,MD,USA","(39.3676844, -76.7954545)",39.3676844,-76.7954545
73,Hummelstown,PA,"Hummelstown,PA,USA","(40.2653681, -76.7083033)",40.2653681,-76.7083033
74,Apple Valley,CA,"Apple Valley,CA,USA","(34.5008311, -117.1858759)",34.5008311,-117.1858759
75,Bay City,MI,"Bay City,MI,USA","(43.5944677, -83.8888648)",43.5944677,-83.8888648
76,Emeryville,CA,"Emeryville,CA,USA","(37.8314089, -122.2865266)",37.8314089,-122.2865266
77,Antioch,CA,"Antioch,CA,USA","(38.0049214, -121.805789)",38.0049214,-121.805789
78,Douglas,GA,"Douglas,GA,USA","(33.6995565, -84.7622973)",33.6995565,-84.7622973
79,Tallahassee,FL,"Tallahassee,FL,USA","(30.4380832, -84.2809332)",30.4380832,-84.2809332
80,Orlando,FL,"Orlando,FL,USA","(28.5421109, -81.3790304)",28.5421109,-81.3790304
81,Tempe,AZ,"Tempe,AZ,USA","(33.4255056, -111.9400125)",33.4255056,-111.9400125
82,Lorena,TX,"Lorena,TX,USA","(31.3865592, -97.2155596)",31.3865592,-97.2155596
83,Memphis,TN,"Memphis,TN,USA","(35.1490215, -90.0516285)",35.1490215,-90.0516285
84,Chino,CA,"Chino,CA,USA","(34.0133561, -117.690075)",34.0133561,-117.690075
85,Oklahoma City,OK,"Oklahoma City,OK,USA","(35.4729886, -97.5170536)",35.4729886,-97.5170536
86,Calimesa,CA,"Calimesa,CA,USA","(34.0039044, -117.0619774)",34.0039044,-117.0619774
87,Gastonia,NC,"Gastonia,NC,USA","(35.2622158, -81.1838794)",35.2622158,-81.1838794
88,Anchorage,AK,"Anchorage,AK,USA","(61.2163129, -149.8948523)",61.2163129,-149.8948523
89,New City,NY,"New City,NY,USA","(41.1499825, -73.98989776091842)",41.1499825,-73.98989776091842
90,Orange County,FL,"Orange County,FL,USA","(28.495156, -81.3111658)",28.495156,-81.3111658
91,Nocona,TX,"Nocona,TX,USA","(33.7888548, -97.7267383)",33.7888548,-97.7267383
92,Smyrna,ME,"Smyrna,ME,USA","(46.1294957, -68.1641921)",46.1294957,-68.1641921
93,Dallas,TX,"Dallas,TX,USA","(32.7762719, -96.7968559)",32.7762719,-96.7968559
94,Whitehaven,TN,"Whitehaven,TN,USA","(35.0273144, -90.0292581)",35.0273144,-90.0292581
95,New Castle,CO,"New Castle,CO,USA","(39.5727585, -107.5364443)",39.5727585,-107.5364443
96,Pasco,WA,"Pasco,WA,USA","(46.2306739, -119.0921006)",46.2306739,-119.0921006
97,San Jose,CA,"San Jose,CA,USA","(37.3361905, -121.8905833)",37.3361905,-121.8905833
98,Dadeville,AL,"Dadeville,AL,USA","(32.831238, -85.7635692)",32.831238,-85.7635692
99,San Bernardino,CA,"San Bernardino,CA,USA","(34.8253019, -116.0833144)",34.8253019,-116.0833144
100,Kansas City,KS,"Kansas City,KS,USA","(39.1134562, -94.626497)",39.1134562,-94.626497
101,Reading,PA,"Reading,PA,USA","(40.335345, -75.9279495)",40.335345,-75.9279495
102,McLemoresville,TN,"McLemoresville,TN,USA","(35.987286, -88.5745001)",35.987286,-88.5745001
103,San Manuel,AZ,"San Manuel,AZ,USA","(32.5997933, -110.6309289)",32.5997933,-110.6309289
104,Essex,MD,"Essex,MD,USA","(39.3075071, -76.4790355)",39.3075071,-76.4790355
105,Laredo,TX,"Laredo,TX,USA","(27.5199841, -99.4953764)",27.5199841,-99.4953764
106,Iuka,MS,"Iuka,MS,USA","(34.8117565, -88.1900415)",34.8117565,-88.1900415
107,Colton,OR,"Colton,OR,USA","(45.1720669, -122.4378631)",45.1720669,-122.4378631
108,Miami Gardens,FL,"Miami Gardens,FL,USA","(25.9423108, -80.23976495072381)",25.9423108,-80.23976495072381
109,Marana,AZ,"Marana,AZ,USA","(32.4446988, -111.2157091)",32.4446988,-111.2157091
110,Boise,ID,"Boise,ID,USA","(43.6166163, -116.200886)",43.6166163,-116.200886
111,Provo,UT,"Provo,UT,USA","(40.2338438, -111.6585337)",40.2338438,-111.6585337
112,Gaston County,NC,"Gaston County,NC,USA","(35.2849659, -81.179014)",35.2849659,-81.179014
113,Springfield,MO,"Springfield,MO,USA","(37.2166779, -93.2920373)",37.2166779,-93.2920373
114,Eaton Rapids Township,MI,"Eaton Rapids Township,MI,USA","(42.5637763, -84.66051611020313)",42.5637763,-84.66051611020313
115,Tewksbury,MA,"Tewksbury,MA,USA","(42.6106479, -71.2342248)",42.6106479,-71.2342248
116,Del Rio,TX,"Del Rio,TX,USA","(29.3655405, -100.8946984)",29.3655405,-100.8946984
117,Charlotte,NC,"Charlotte,NC,USA","(35.2272, -80.843083)",35.2272,-80.843083
118,Euless,TX,"Euless,TX,USA","(32.8457865, -97.0667142473263)",32.8457865,-97.0667142473263
119,Homewood,AL,"Homewood,AL,USA","(33.4717732, -86.8008228)",33.4717732,-86.8008228
120,Birmingham,AL,"Birmingham,AL,USA","(33.5206824, -86.8024326)",33.5206824,-86.8024326
121,Ruidoso,NM,"Ruidoso,NM,USA","(33.3315804, -105.6730991)",33.3315804,-105.6730991
122,Palm Bay,FL,"Palm Bay,FL,USA","(28.0330075, -80.6433552)",28.0330075,-80.6433552
123,Denham Springs,LA,"Denham Springs,LA,USA","(30.4868564, -90.9562125)",30.4868564,-90.9562125
124,Powder Springs,GA,"Powder Springs,GA,USA","(33.8595492, -84.683824)",33.8595492,-84.683824
125,Clarkesville,GA,"Clarkesville,GA,USA","(34.6125971, -83.5248933)",34.6125971,-83.5248933
